XNORS2X12
    area: 8.11
    A    <-  (0.005849)
    B    <-  (0.005254)
    Z    ->  (0.21) (!A*!B+A*B)  --- XNOR2
      cell_fall  (A)
            input_net_transition total_output_net_capacitance time
            0.035 0.61 0.72059
            0.07 0.0014 0.024122
            0.07 0.019 0.043026
            0.07 0.038 0.063098
            0.07 0.077 0.10572
            0.07 0.15 0.18852
            0.07 0.31 0.37326
            0.07 0.61 0.7209
            0.14 0.0014 0.025212
            0.14 0.019 0.04393
            0.14 0.038 0.063765
            0.14 0.077 0.10614
            0.14 0.15 0.18872
            0.14 0.31 0.37327
            0.14 0.61 0.72091
            0.28 0.0014 0.027827
            0.28 0.019 0.046343
            0.28 0.038 0.06576
            0.28 0.077 0.10744
            0.28 0.15 0.18939
            0.28 0.31 0.37358
            0.28 0.61 0.72092
            0.56 0.0014 0.033637
            0.56 0.019 0.051703
            0.56 0.038 0.070249
            0.56 0.077 0.1105
            0.56 0.15 0.19102
            0.56 0.31 0.37428
            0.56 0.61 0.72093
