  XORS2X12
    area: 7.49
    A    <-  (0.005574)
    B    <-  (0.005749)
    Z    ->  (0.21) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.035 0.0014 0.124641
            0.035 0.025 0.143506
            0.035 0.05 0.160622
            0.035 0.1 0.192577
            0.035 0.2 0.25465
            0.035 0.4 0.457556
            0.07 0.0014 0.145585
            0.07 0.025 0.164824
            0.07 0.05 0.182105
            0.07 0.1 0.214192
            0.07 0.2 0.279455
            0.07 0.4 0.483428
            0.14 0.0014 0.182963
            0.14 0.025 0.202873
            0.14 0.05 0.22055
            0.14 0.1 0.252967
            0.14 0.2 0.329626
            0.14 0.4 0.534446
            0.28 0.0014 0.247566
            0.28 0.025 0.26873
            0.28 0.05 0.287045
            0.28 0.1 0.320089
            0.28 0.2 0.423423
            0.28 0.4 0.634678
            0.56 0.0014 0.35607
            0.56 0.025 0.379544
            0.56 0.05 0.399047
            0.56 0.1 0.454696
            0.56 0.2 0.590227
            0.56 0.4 0.821436
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0780516
            0.005 0.025 0.112244
            0.005 0.05 0.147664
            0.005 0.1 0.218856
            0.005 0.2 0.361768
            0.005 0.4 0.648131
            0.035 0.0014 0.101318
            0.035 0.025 0.136015
            0.035 0.05 0.171809
            0.035 0.1 0.243122
            0.035 0.2 0.385891
            0.035 0.4 0.672342
            0.07 0.0014 0.125444
            0.07 0.025 0.160281
            0.07 0.05 0.196229
            0.07 0.1 0.267718
            0.07 0.2 0.410641
            0.07 0.4 0.697081
            0.14 0.0014 0.167145
            0.14 0.025 0.202169
            0.14 0.05 0.23815
            0.14 0.1 0.309793
            0.14 0.2 0.452903
            0.14 0.4 0.739299
            0.28 0.0014 0.237446
            0.28 0.025 0.273229
            0.28 0.05 0.309298
            0.28 0.1 0.380996
            0.28 0.2 0.524139
            0.28 0.4 0.810458
            0.56 0.0014 0.354057
            0.56 0.025 0.392095
            0.56 0.05 0.428494
            0.56 0.1 0.502755
            0.56 0.2 0.683727
            0.56 0.4 0.998932
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.02857
            0.005 0.025 0.05792
            0.005 0.05 0.097919
            0.005 0.1 0.17786
            0.005 0.2 0.33779
            0.005 0.4 0.65765
            0.035 0.0014 0.028675
            0.035 0.025 0.059024
            0.035 0.05 0.098442
            0.035 0.1 0.17805
            0.035 0.2 0.33806
            0.035 0.4 0.65803
            0.07 0.0014 0.029056
            0.07 0.025 0.06267
            0.07 0.05 0.10117
            0.07 0.1 0.17945
            0.07 0.2 0.33838
            0.07 0.4 0.65804
            0.14 0.0014 0.034307
            0.14 0.025 0.071656
            0.14 0.05 0.10968
            0.14 0.1 0.18591
            0.14 0.2 0.34163
            0.14 0.4 0.65879
            0.28 0.0014 0.052053
            0.28 0.025 0.090908
            0.28 0.05 0.12923
            0.28 0.1 0.20439
            0.28 0.2 0.3558
            0.28 0.4 0.66602
            0.56 0.0014 0.088208
            0.56 0.025 0.13101
            0.56 0.05 0.16982
            0.56 0.1 0.24524
            0.56 0.2 0.39429
            0.56 0.4 0.6957
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.036338
            0.005 0.025 0.091358
            0.005 0.05 0.14915
            0.005 0.1 0.26415
            0.005 0.2 0.4944
            0.005 0.4 0.95452
            0.035 0.0014 0.038651
            0.035 0.025 0.092339
            0.035 0.05 0.14934
            0.035 0.1 0.26427
            0.035 0.2 0.49448
            0.035 0.4 0.95453
            0.07 0.0014 0.044051
            0.07 0.025 0.096557
            0.07 0.05 0.15209
            0.07 0.1 0.26524
            0.07 0.2 0.49457
            0.07 0.4 0.95454
            0.14 0.0014 0.055126
            0.14 0.025 0.10852
            0.14 0.05 0.16262
            0.14 0.1 0.27218
            0.14 0.2 0.49719
            0.14 0.4 0.95455
            0.28 0.0014 0.076502
            0.28 0.025 0.13341
            0.28 0.05 0.18828
            0.28 0.1 0.29532
            0.28 0.2 0.51218
            0.28 0.4 0.96
            0.56 0.0014 0.11475
            0.56 0.025 0.18089
            0.56 0.05 0.23877
            0.56 0.1 0.34803
            0.56 0.2 0.56054
            0.56 0.4 0.99283
  XORS2X3
    area: 4.99
    A    <-  (0.002338)
    B    <-  (0.002096)
    Z    ->  (0.053) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.1287
            0.005 0.0066 0.157894
            0.005 0.013 0.190179
            0.005 0.026 0.253627
            0.005 0.053 0.466609
            0.035 0.0014 0.147235
            0.035 0.0066 0.176704
            0.035 0.013 0.209077
            0.035 0.026 0.272558
            0.035 0.053 0.489808
            0.07 0.0014 0.167079
            0.07 0.0066 0.196933
            0.07 0.013 0.229493
            0.07 0.026 0.29304
            0.07 0.053 0.515372
            0.14 0.0014 0.203049
            0.14 0.0066 0.233739
            0.14 0.013 0.266673
            0.14 0.026 0.342683
            0.14 0.053 0.565939
            0.28 0.0014 0.26565
            0.28 0.0066 0.297715
            0.28 0.013 0.331386
            0.28 0.026 0.436513
            0.28 0.053 0.665896
            0.56 0.0014 0.371404
            0.56 0.0066 0.405845
            0.56 0.013 0.464013
            0.56 0.026 0.603933
            0.56 0.053 0.853358
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.102991
            0.005 0.0066 0.157432
            0.005 0.013 0.224565
            0.005 0.026 0.36201
            0.005 0.053 0.647812
            0.035 0.0014 0.125928
            0.035 0.0066 0.181247
            0.035 0.013 0.248743
            0.035 0.026 0.386221
            0.035 0.053 0.672001
            0.07 0.0014 0.150029
            0.07 0.0066 0.205568
            0.07 0.013 0.273174
            0.07 0.026 0.410542
            0.07 0.053 0.696905
            0.14 0.0014 0.191961
            0.14 0.0066 0.247709
            0.14 0.013 0.315458
            0.14 0.026 0.452903
            0.14 0.053 0.738793
            0.28 0.0014 0.262988
            0.28 0.0066 0.319176
            0.28 0.013 0.386991
            0.28 0.026 0.524568
            0.28 0.053 0.810392
            0.56 0.0014 0.381282
            0.56 0.0066 0.438702
            0.56 0.013 0.506781
            0.56 0.026 0.669163
            0.56 0.053 0.986579
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.042352
            0.005 0.0066 0.10686
            0.005 0.013 0.18968
            0.005 0.026 0.35787
            0.005 0.053 0.70649
            0.035 0.0014 0.042419
            0.035 0.0066 0.10717
            0.035 0.013 0.1899
            0.035 0.026 0.35819
            0.035 0.053 0.70714
            0.07 0.0014 0.045011
            0.07 0.0066 0.1098
            0.07 0.013 0.19106
            0.07 0.026 0.35843
            0.07 0.053 0.70715
            0.14 0.0014 0.054102
            0.14 0.0066 0.11816
            0.14 0.013 0.19717
            0.14 0.026 0.36137
            0.14 0.053 0.70738
            0.28 0.0014 0.07309
            0.28 0.0066 0.13781
            0.28 0.013 0.21564
            0.28 0.026 0.37502
            0.28 0.053 0.71417
            0.56 0.0014 0.11243
            0.56 0.0066 0.17866
            0.56 0.013 0.25637
            0.56 0.026 0.41315
            0.56 0.053 0.74217
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.059477
            0.005 0.0066 0.14953
            0.005 0.013 0.25938
            0.005 0.026 0.48293
            0.005 0.053 0.94451
            0.035 0.0014 0.061006
            0.035 0.0066 0.14964
            0.035 0.013 0.2598
            0.035 0.026 0.48324
            0.035 0.053 0.94612
            0.07 0.0014 0.066197
            0.07 0.0066 0.15241
            0.07 0.013 0.26072
            0.07 0.026 0.48325
            0.07 0.053 0.94613
            0.14 0.0014 0.078178
            0.14 0.0066 0.16287
            0.14 0.013 0.26747
            0.14 0.026 0.48588
            0.14 0.053 0.94614
            0.28 0.0014 0.10192
            0.28 0.0066 0.18848
            0.28 0.013 0.29083
            0.28 0.026 0.5016
            0.28 0.053 0.95231
            0.56 0.0014 0.14605
            0.56 0.0066 0.23923
            0.56 0.013 0.34351
            0.56 0.026 0.5496
            0.56 0.053 0.98468
  XORS2X6
    area: 4.99
    A    <-  (0.003226)
    B    <-  (0.003017)
    Z    ->  (0.11) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.117755
            0.005 0.0066 0.13497
            0.005 0.013 0.153747
            0.005 0.026 0.189684
            0.005 0.053 0.262471
            0.005 0.11 0.510136
            0.035 0.0014 0.137214
            0.035 0.0066 0.154649
            0.035 0.013 0.173558
            0.035 0.026 0.20955
            0.035 0.053 0.28413
            0.035 0.11 0.533533
            0.07 0.0014 0.157619
            0.07 0.0066 0.175373
            0.07 0.013 0.194458
            0.07 0.026 0.230593
            0.07 0.053 0.309782
            0.07 0.11 0.559713
            0.14 0.0014 0.194293
            0.14 0.0066 0.212641
            0.14 0.013 0.232144
            0.14 0.026 0.26862
            0.14 0.053 0.360668
            0.14 0.11 0.611105
            0.28 0.0014 0.257928
            0.28 0.0066 0.277299
            0.28 0.013 0.297484
            0.28 0.026 0.33462
            0.28 0.053 0.456797
            0.28 0.11 0.712965
            0.56 0.0014 0.365123
            0.56 0.0066 0.386298
            0.56 0.013 0.407627
            0.56 0.026 0.47707
            0.56 0.053 0.629222
            0.56 0.11 0.905542
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0907984
            0.005 0.0066 0.120802
            0.005 0.013 0.157421
            0.005 0.026 0.232265
            0.005 0.053 0.388718
            0.005 0.11 0.720115
            0.035 0.0014 0.114125
            0.035 0.0066 0.144727
