  OR2X18
    area: 4.37
    A    <-  (0.002379)
    B    <-  (0.00229)
    Z    ->  (0.32) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.14 0.61 0.575828
            0.28 0.0014 0.20878
            0.28 0.019 0.230109
            0.28 0.038 0.24585
            0.28 0.077 0.27434
            0.28 0.15 0.325897
            0.28 0.31 0.438119
            0.28 0.61 0.648098
            0.56 0.0014 0.321761
            0.56 0.019 0.348392
            0.56 0.038 0.366498
            0.56 0.077 0.396319
            0.56 0.15 0.447865
            0.56 0.31 0.559988
            0.56 0.61 0.769846
      fall_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.021581
            0.005 0.019 0.036507
            0.005 0.038 0.051488
            0.005 0.077 0.082643
            0.005 0.15 0.14295
            0.005 0.31 0.27877
            0.005 0.61 0.53605
            0.035 0.0014 0.02167
            0.035 0.019 0.036592
            0.035 0.038 0.051582
            0.035 0.077 0.082686
            0.035 0.15 0.14296
            0.035 0.31 0.27878
            0.035 0.61 0.53606
            0.07 0.0014 0.022233
            0.07 0.019 0.036991
            0.07 0.038 0.051905
            0.07 0.077 0.082911
            0.07 0.15 0.14306
            0.07 0.31 0.27881
            0.07 0.61 0.53607
            0.14 0.0014 0.023715
            0.14 0.019 0.038388
            0.14 0.038 0.053131
            0.14 0.077 0.083842
            0.14 0.15 0.14363
            0.14 0.31 0.279
            0.14 0.61 0.53612
            0.28 0.0014 0.027036
            0.28 0.019 0.0414
            0.28 0.038 0.055789
            0.28 0.077 0.085896
            0.28 0.15 0.14497
            0.28 0.31 0.27975
            0.28 0.61 0.53644
            0.56 0.0014 0.034544
            0.56 0.019 0.04826
            0.56 0.038 0.061752
            0.56 0.077 0.090405
            0.56 0.15 0.14784
            0.56 0.31 0.28116
            0.56 0.61 0.53725
      rise_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.014704
            0.005 0.019 0.03349
            0.005 0.038 0.054669
            0.005 0.077 0.09941
            0.005 0.15 0.18398
            0.005 0.31 0.36967
            0.005 0.61 0.71811
            0.035 0.0014 0.015174
            0.035 0.019 0.033704
            0.035 0.038 0.054736
            0.035 0.077 0.099435
            0.035 0.15 0.18399
            0.035 0.31 0.36969
            0.035 0.61 0.71812
            0.07 0.0014 0.016418
            0.07 0.019 0.03436
            0.07 0.038 0.05519
            0.07 0.077 0.099526
            0.07 0.15 0.184
            0.07 0.31 0.36979
            0.07 0.61 0.71813
            0.14 0.0014 0.019137
            0.14 0.019 0.036215
            0.14 0.038 0.056258
            0.14 0.077 0.10013
            0.14 0.15 0.18424
            0.14 0.31 0.3698
            0.14 0.61 0.7182
            0.28 0.0014 0.024314
            0.28 0.019 0.04034
            0.28 0.038 0.059044
            0.28 0.077 0.10149
            0.28 0.15 0.18478
            0.28 0.31 0.37018
            0.28 0.61 0.71835
            0.56 0.0014 0.034047
            0.56 0.019 0.049576
            0.56 0.038 0.066069
            0.56 0.077 0.10525
            0.56 0.15 0.18651
            0.56 0.31 0.37096
            0.56 0.61 0.71836  OR2X4
    area: 3.74
    A    <-  (0.00125)
    B    <-  (0.001232)
    Z    ->  (0.07) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.1111
            0.005 0.009 0.154022
            0.005 0.018 0.194986
            0.005 0.035 0.268697
            0.005 0.07 0.419463
            0.035 0.0014 0.130295
